epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.6672865748405457,0.722774088382721,3678.0,3657.0,0.6168874502182007,0.6677266955375671,0.666455090045929,7362.0,7349.0,0.6225045323371887,0.7318294048309326,741.0,299.0,0.6261805295944214,0.6849315166473389,0.4672897160053253,1065.0,650.0
1,0.8586137890815735,0.9265297055244446,1273.0,1844.0,0.34307345747947693,0.8409659266471863,0.8845247030258179,9178.0,9751.0,0.6457350254058838,0.875928521156311,900.0,76.0,0.6270496845245361,0.8615664839744568,0.3445010781288147,1306.0,473.0
2,0.9193050861358643,0.9638782739639282,661.0,1118.0,0.22850924730300903,0.9026132225990295,0.9400344491004944,9905.0,10362.0,0.715426504611969,0.8526797294616699,41.0,743.0,0.6508722305297852,0.6441571116447449,0.9704184532165527,626.0,1345.0
3,0.9283770322799683,0.9696125984191895,484.0,1095.0,0.20543938875198364,0.905895471572876,0.9560997486114502,9926.0,10541.0,0.931034505367279,0.9762762784957886,46.0,144.0,0.19122272729873657,0.9032908082008362,0.9669302701950073,1220.0,1345.0
4,0.9195772409439087,0.9675604701042175,655.0,1118.0,0.21860189735889435,0.9026641249656677,0.940578818321228,9905.0,10368.0,0.9386569857597351,0.9811476469039917,29.0,140.0,0.17600543797016144,0.9066044092178345,0.979106605052948,1227.0,1359.0
5,0.9393994212150574,0.9785035252571106,456.0,880.0,0.17250944674015045,0.9231306910514832,0.958635687828064,10142.0,10568.0,0.9339382648468018,0.9805242419242859,25.0,157.0,0.18630287051200867,0.8973184823989868,0.982104480266571,1201.0,1372.0
6,0.9407148957252502,0.9788177609443665,461.0,846.0,0.16903972625732422,0.925854504108429,0.9581859707832336,10175.0,10564.0,0.9339382648468018,0.9800497889518738,25.0,157.0,0.19165977835655212,0.8969816565513611,0.9820402264595032,1206.0,1367.0
7,0.9425746202468872,0.9790711402893066,407.0,859.0,0.16659027338027954,0.92513507604599,0.9630738496780396,10165.0,10615.0,0.9339382648468018,0.9779794812202454,27.0,155.0,0.2244093269109726,0.8985602259635925,0.9807142615318298,1200.0,1373.0
